股票编号,上市年限,所属行业,所属概念板块
26,24,电力、热力、燃气及水生产和供应业,MSCI中盘;含可转债;可转债;融资融券;火电;陆股通50;融资融券标的;央企;煤电重组;国家队;标普道琼斯概念;CDM项目;预增
27,2,制造业,
28,13,卫生和社会工作,国家队;智慧医疗;预增;社保重仓;基金重仓(季调);大盘蓝筹;行业龙头;股票质押;大消费;健康中国;基金减持;标普道琼斯概念
29,3,制造业,电动物流车;新能源汽车;超跌;预增
30,20,制造业,雄安新区;地方国企;国家队;京津冀一体化
31,10,制造业,消费电子代工;白马股;苹果;融资融券;科技龙头;基金重仓(季调);MSCI大盘;护城河;智能家居;智能穿戴;标普道琼斯概念;5G应用;员工持股;制造业单项冠军企业;传感器;中小创蓝筹;国家队;融资融券标的;智能音箱;行业龙头;一线龙头;大消费;智能手表;消费电子产业;TWS耳机;虚拟现实
32,2,制造业,葡萄酒
33,20,制造业,军民融合;并购阶段(需定增);地方国企;预减;三网融合;标普道琼斯概念;融资融券标的;融资融券
34,8,制造业,煤矿智能;军民融合
35,8,批发和零售业,预减;出口型企业;超涨;消费电子产业;智能家居
36,21,制造业,出口型企业;稀土永磁;标普道琼斯概念
37,3,制造业,预增;最小市值;国家队
38,3,制造业,打板;重组;预增;并购阶段(需定增);国家队
39,4,制造业,机床;超涨
40,16,制造业,预减;股票质押;行业龙头;融资融券标的;出口型企业;石墨烯;大盘蓝筹;标普道琼斯概念;国家队;一线龙头;融资融券
41,15,制造业,基金重仓(季调);国家队;大盘蓝筹;二线龙头;陆股通50;标普道琼斯概念
42,3,制造业,小盘成长;员工持股;虫害防治
43,2,批发和零售业,预减
44,1,采矿业,次新股;近端次新股;预减;标普道琼斯概念
45,2,建筑业,装饰园林;预减;小盘成长
46,24,批发和零售业,上海自贸区;上海国资改革;含B股的A股;上海本地重组;中国国际进口博览会;地方国企;预增
47,1,文化、体育和娱乐业,文化传媒概念;近端次新股;次新股;标普道琼斯概念
48,27,综合,涉矿;医保概念;特斯拉;融资融券;珠三角;军民融合;融资融券标的;超涨;手机产业;异质结电池(HIT);标普道琼斯概念;预增;磷酸铁锂电池;锂电负极;锂电正极;石墨烯
49,25,制造业,标普道琼斯概念;超涨;预增;国家队;军民融合;基金重仓(季调);航母
50,6,制造业,员工持股;传感器;智能电网;能源互联网
51,20,制造业,地方国企;预增;融资融券;融资融券标的
52,8,制造业,汽车后市场
53,3,制造业,二胎政策;可转债
54,10,制造业,港珠澳大桥;粤港澳大湾区;融资融券;股票质押;标普道琼斯概念;水泥;民营银行;中小创蓝筹;大盘蓝筹;融资融券标的
55,3,科学研究和技术服务业,装饰园林;并购阶段(需定增);跨境电商;重组
56,4,制造业,大盘蓝筹;重组;股票质押;员工持股;充电桩;珠三角;超涨
57,4,制造业,富士康概念;高送转概念;显示屏制造装备;机器视觉;国家队;预减;人工智能;工业4.0
58,1,制造业,汽车胎压监测;超涨;次新股
59,15,信息传输、软件和信息技术服务业,重组;国产软硬件;核高基;操作系统;阿里巴巴概念
60,2,制造业,虫害防治
61,25,制造业,含B股的A股;创投;地方国企;中国国际进口博览会;预减;上海国资改革;共享单车;上海自贸区
62,26,制造业,国家队;标普道琼斯概念;含B股的A股;融资融券标的;涉矿;融资融券;股票质押;超涨;增持;浦东新区;重组
63,3,制造业,肺炎概念;体外诊断;医疗器械;超涨;珠三角;中小创蓝筹;生物疫苗
64,3,制造业,
65,1,制造业,次新股;健康中国
66,9,制造业,超涨;手机产业;小盘成长;重组;股票质押;触摸屏;增持;摘帽
67,2,科学研究和技术服务业,预增;充电桩;超涨
68,3,制造业,集成电路;国家队;智能手表;超涨;芯片国产化;5G应用;股票质押;卫星导航;百度概念
69,11,制造业,基金重仓(季调);高送转概念;预增;MSCI大盘;制造业单项冠军企业;国产化创新;融资融券;燃料电池;证金概念;白马股;QFII重仓;高端装备制造;一线龙头;标普道琼斯概念;地方国企;大盘蓝筹;融资融券标的;国家队;行业龙头;含H股的A股
70,22,房地产业,金控平台;预减;东北振兴;融资融券标的;养老产业;融资融券;国家队
71,3,制造业,股票质押;超跌
72,23,制造业,重组;举牌;超涨;光纤
73,16,交通运输、仓储和邮政业,国家队;一带一路;地方国企;东北振兴;中日韩自贸区;预增
74,21,制造业,液晶显示;新型显示技术;央企;标普道琼斯概念;富士康概念;触摸屏;小米产业链
75,3,制造业,珠三角;高送转概念;基金重仓(季调);锂电池;超涨;中小创蓝筹
76,12,信息传输、软件和信息技术服务业,宽带提速;国家队;举牌;互联网金融
77,21,电力、热力、燃气及水生产和供应业,地方国企;民营医院;养老产业;预增
78,4,制造业,黄酒;国家队;员工持股;可转债
79,4,制造业,高送转概念;医疗器械;预增;国家队
80,16,制造业,中国建材集团;新型显示技术;玻璃;预增;高送转概念;液晶显示;央企;3D玻璃;触摸屏;国资改革;手机外壳;OLED
81,25,制造业,标普道琼斯概念;水泥;东北振兴;预增
82,2,制造业,百度概念;物联网;车联网;无人驾驶
83,15,采矿业,标普道琼斯概念;融资融券标的;地方国企;二线龙头;国家队;融资融券;MSCI中盘
84,9,交通运输、仓储和邮政业,股票质押;卫星导航;物流骨干网;智能物流
85,9,制造业,股票质押;融资融券;融资融券标的;预增;护城河
86,18,制造业,股票质押;预减;融资融券标的;超涨;融资融券
87,1,制造业,次新股
88,15,电力、热力、燃气及水生产和供应业,行业龙头;陆股通50;基金重仓(季调);大盘蓝筹;融资融券标的;富时罗素概念;护城河;证金概念;预增;标普道琼斯概念;大央企重组;基金减持;融资融券;万得A50;国家队;煤电重组;MSCI大盘;白马股;央企
89,1,制造业,次新股;超涨
90,10,制造业,预增;低价小市值;增持;锂电池;网络游戏;锂矿
91,16,制造业,高铁;融资融券;风力发电;国家队;超涨;央企;轨道交通;融资融券标的
92,3,交通运输、仓储和邮政业,智能物流;超涨;高送转概念;举牌
93,10,批发和零售业,MSCI中盘;融资融券标的;标普道琼斯概念;行业龙头;融资融券;可燃冰;大盘蓝筹
94,14,制造业,医保概念;国家队;流感;融资融券标的;肺炎概念;融资融券;血液制品;生物疫苗;医疗器械;标普道琼斯概念;超涨;体外诊断
95,7,制造业,抗生素;国家队
96,8,制造业,智能电网;新能源汽车;超涨;电动物流车;机器人;低价小市值;工业4.0
97,18,制造业,云计算;数字中国;超涨;金融科技;人工智能;电子政务;行业龙头;基金减持;标普道琼斯概念;大消费;地方国企;5G应用;国产化创新;融资融券标的;融资融券;国产软硬件;雄安新区;MSCI中盘;IPV6;自主可控;网络安全;操作系统;科技龙头;护城河;制造业单项冠军企业;大数据
98,2,制造业,并购阶段(需定增);轨道交通;含可转债;标普道琼斯概念
99,9,信息传输、软件和信息技术服务业,智慧医疗;融资融券标的;物联网;车联网;轨道交通;智慧城市;融资融券;阿里巴巴概念;智能交通;虚拟现实
100,19,电力、热力、燃气及水生产和供应业,股票质押;垃圾发电;融资融券;融资融券标的;国家队;增持;固废处理;雄安新区
101,17,信息传输、软件和信息技术服务业,区块链;超涨;云计算;融资融券;国产软硬件;自主可控;标普道琼斯概念;5G应用;国家队;民营银行;移动转售;预增;科技龙头;行业龙头;征信;核高基;融资融券标的;数字中国
102,1,制造业,出口型企业;高送转概念;物联网;超涨;5G应用
103,18,制造业,长三角;沪伦通;证金概念;一线龙头;护城河;万得A50;国家队;QFII重仓;基金重仓(季调);富时罗素概念;大央企重组;行业龙头;陆股通50;可转债;央企;融资融券标的;融资融券;标普道琼斯概念;大盘蓝筹
104,12,采矿业,地方国企;融资融券;融资融券标的;国家队;基金重仓(季调);小盘成长;标普道琼斯概念
105,19,信息传输、软件和信息技术服务业,融资融券标的;广电系;影视;标普道琼斯概念;文化传媒概念;地方国企;三网融合;超涨;360概念;创投;融资融券
106,19,制造业,预增;核电;地方国企;东北振兴
107,7,制造业,地方国企;国家队
108,7,制造业,合资企业;国家队
109,14,农、林、牧、渔业,棉花;丝绸之路;*ST;地方国企;新疆振兴;ST概念
110,2,信息传输、软件和信息技术服务业,预减;文化传媒概念
111,1,制造业,预增;次新股;合资企业
112,21,农、林、牧、渔业,雄安新区;基金重仓(季调);智慧农业;涉矿
113,20,制造业,甲醇;新型煤化工;MSCI中盘;大盘蓝筹;国家队;标普道琼斯概念;氟化工;融资融券标的;融资融券;行业龙头;地方国企
114,14,制造业,国家队;氢能;超级电容;预增;并购阶段(需定增);氟化工
115,8,制造业,标普道琼斯概念;光伏;国家队;360概念
116,18,制造业,融资融券标的;地方国企;标普道琼斯概念;国家队;小金属;MSCI中盘;融资融券;债转股
117,11,租赁和商务服务业,文化传媒概念;国家队;股票质押;标普道琼斯概念
118,4,水利、环境和公共设施管理业,可转债;PPP;污水处理;国家队;含可转债
119,22,采矿业,举牌;最小市值;黄金珠宝
120,14,租赁和商务服务业,文化传媒概念;融资融券标的;预减;珠三角;万得A50;标普道琼斯概念;护城河;中概股回归;合资企业;大盘蓝筹;互联网营销;富时罗素概念;行业龙头;融资融券;股票质押;基金重仓(季调)
121,18,信息传输、软件和信息技术服务业,文化传媒概念;大数据;舟山新区;互联网营销
122,8,制造业,国家队;集成电路;智能家居;最小市值;芯片国产化
123,4,制造业,手机电池;超涨;基金重仓(季调);手机产业;锂电池;国家队;预减;动力电池;标普道琼斯概念;股票质押;宁德时代产业链;珠三角
124,19,制造业,国资改革;*ST;核电;国企混改;ST概念;东北振兴;央企
125,20,房地产业,网络彩票;标普道琼斯概念;融资融券标的;国家队;体育;文化传媒概念;股权转让;国资改革;特色小镇;海南自贸港;融资融券;世界杯
126,7,制造业,新材料;聚碳酸酯;国家队
127,1,制造业,超涨;预增;次新股;近端次新股
128,8,交通运输、仓储和邮政业,大盘蓝筹;雄安新区;融资融券标的;MSCI中盘;京津冀一体化;地方国企;融资融券;国家队;河北省国资;标普道琼斯概念
129,21,制造业,涉矿;西藏振兴;啤酒
130,1,制造业,超涨;锂电池;预增;宁德时代产业链;基金重仓(季调);标普道琼斯概念
131,25,房地产业,地方国企;科技园区;预减
132,2,农、林、牧、渔业,
133,6,制造业,高送转概念;超涨;股权转让
134,8,租赁和商务服务业,O2O;并购阶段(需定增);特色小镇;国家队;标普道琼斯概念;融资融券标的;地方国企;跨境电商;融资融券;互联网金融
135,14,批发和零售业,预减;超涨;地方国企;国家队;护城河;江苏省国资
136,2,制造业,预增
137,8,制造业,5G;无人驾驶;可转债;物联网;航母;华为概念;标普道琼斯概念;5G应用;射频及天线;军民融合;车联网;移动互联网;超涨;珠三角;含可转债;消费电子产业;基站
138,10,房地产业,预增;独角兽概念;金控平台;蚂蚁金服;地方国企
139,6,信息传输、软件和信息技术服务业,金融科技;国家队;芯片国产化;网络安全;密码学;超涨
140,11,房地产业,标普道琼斯概念
141,21,制造业,流感;禽流感;地方国企;融资融券;生物疫苗;医疗改革;超级细菌;融资融券标的;抗生素;超涨;肺炎概念
142,3,制造业,工业4.0;机器人;合资企业;制造业单项冠军企业
143,7,制造业,制造业单项冠军企业;行业龙头;标普道琼斯概念;融资融券标的;国家队;融资融券
144,19,综合,合资企业;科技园区;特色小镇;小米产业链;车联网;国家队;抗核辐射
145,2,科学研究和技术服务业,标普道琼斯概念
146,21,制造业,东北振兴;央企;国家队;重组;标普道琼斯概念
147,9,制造业,智慧城市;重组;民营银行;集成电路;超涨;电路板;预减;智能穿戴
148,6,交通运输、仓储和邮政业,油气改革;地方国企;职业教育;国家队
149,8,批发和零售业,MSCI大盘;国家队;行业龙头;基金重仓(季调);融资融券标的;智慧医疗;可转债;含可转债;一线龙头;护城河;民营银行;标普道琼斯概念;融资融券;医疗改革;股票质押;医药电商
150,1,制造业,合资企业;基因检测;超涨;次新股
151,3,制造业,超涨;PPP;标普道琼斯概念;环保概念;股票质押
152,7,制造业,预减;石墨烯;锂电池;新型煤化工
153,19,制造业,预减;地方国企;医疗改革;出口型企业;维生素;医保概念
154,15,制造业,基金重仓(季调);可转债;社保重仓;基金重仓;民营银行;MSCI大盘;5G应用;国家队;高端装备制造;融资融券标的;大盘蓝筹;标普道琼斯概念;挖掘机;一带一路;基金减持;军民融合;行业龙头;融资融券
155,21,批发和零售业,地方国企;金融改革;融资融券标的;量子技术;参股金融;供应链金融;预增;融资融券;金控平台;期货概念;国家队;护城河;债转股
156,10,制造业,*ST;重组;ST概念;机床;高端装备制造
157,1,制造业,标普道琼斯概念;次新股;近端次新股
158,7,制造业,国家队;大数据;小程序;超涨;移动互联网;宽带提速
159,20,制造业,页岩气;高端装备制造;国家队;雄安新区;央企;预增;可燃冰;国企混改;制造业单项冠军企业
160,9,制造业,智能物流;超涨;员工持股;征信;*ST;安防监控
161,6,制造业,融资融券标的;股票质押;国家队;西藏振兴;医保概念;预增;医疗器械;标普道琼斯概念;融资融券
162,25,批发和零售业,并购阶段(需定增);重组;绿色节能照明;预增;央企;超涨
163,17,制造业,雄安新区;异质结电池(HIT);央企;特高压;超涨;并购阶段(需定增)
164,6,信息传输、软件和信息技术服务业,物联网;网络优化;超涨;网络规划建设;智慧医疗;车联网
165,2,制造业,预增;基金重仓(季调);行业龙头;标普道琼斯概念
166,18,制造业,医疗器械;可转债;股票质押;超涨;合资企业;新型煤化工;甲醇
167,3,制造业,
168,4,电力、热力、燃气及水生产和供应业,国资改革;社保重仓;标普道琼斯概念;预增;风力发电
169,4,制造业,并购阶段(需定增);芯片国产化;苹果;重组
170,12,制造业,国家队;含可转债;可转债;超涨;人民币贬值;预增;异质结电池(HIT)
171,1,建筑业,装饰园林;次新股;雄安新区
172,2,批发和零售业,预增;最小市值;超涨
173,1,制造业,次新股;封板新股;超涨
174,20,电力、热力、燃气及水生产和供应业,MSCI大盘;融资融券标的;预增;融资融券;国家队;标普道琼斯概念
175,1,制造业,次新股;标普道琼斯概念;超涨
176,8,批发和零售业,新零售
177,22,电力、热力、燃气及水生产和供应业,CDM项目;标普道琼斯概念;新能源汽车;股票质押;垃圾发电;举牌
178,6,制造业,工业4.0;5G应用;医疗器械;标普道琼斯概念;预增;一带一路;机器人
179,2,制造业,标普道琼斯概念;预增;超涨
180,22,制造业,低价小市值;地方国企;国家队;甲醇
181,1,制造业,新型显示技术;国产化创新;预增;手机屏幕;次新股;液晶显示
182,22,制造业,基金重仓(季调);一线龙头;行业龙头;国产化创新;新能源汽车;大盘蓝筹;广东省国资;港珠澳大桥;基金重仓;品牌龙头;融资融券;QFII重仓;万得A50;大消费;标普道琼斯概念;护城河;消费电子产业;证金概念;融资融券标的;国家队;社保重仓;地方国企;珠三角;白马股;富时罗素概念
183,7,制造业,K-12教育;超涨;国家队;员工持股;在线教育;玻璃
184,1,制造业,医疗器械;高送转概念
185,6,制造业,K-12教育;股票质押;绿色节能照明;出口型企业
186,7,建筑业,国家队;融资融券标的;股票质押;民营医院;装配式建筑;健康中国;民营银行;融资融券;装饰园林
187,1,制造业,虫害防治;标普道琼斯概念
188,14,房地产业,股票质押;融资融券;港珠澳大桥;预减;粤港澳自贸区;粤港澳大湾区;养老金概念;融资融券标的;标普道琼斯概念;国家队
189,8,制造业,可转债;虫害防治;含可转债;出口型企业;草甘膦;预增;国家队
190,21,制造业,核电;央企;融资融券标的;国家队;一带一路;融资融券;新能源;预增
191,1,制造业,预减;次新股;二线龙头;标普道琼斯概念;近端次新股
192,2,制造业,人民币贬值;预增
193,3,制造业,标普道琼斯概念
194,4,批发和零售业,员工持股;含可转债;标普道琼斯概念;基金重仓(季调)
195,7,制造业,预增;医疗器械
196,7,制造业,健康中国;保底增持;医疗器械;超涨;养老产业
197,23,交通运输、仓储和邮政业,北部湾自贸区;预增;标普道琼斯概念;并购阶段(需定增);一带一路;地方国企;国家队
198,21,批发和零售业,融资融券;标普道琼斯概念;出口型企业;国家队;珠三角;激光;融资融券标的;雄安新区;电子商务;大盘蓝筹
199,22,批发和零售业,京津冀一体化;股权转让;智慧医疗;重组
200,8,信息传输、软件和信息技术服务业,IPV6;阿里巴巴概念;电子政务;大数据;三网融合
201,1,制造业,风力发电;次新股;预增;出口型企业
202,10,制造业,国家队;预增;地方国企;新材料;标普道琼斯概念;军民融合
203,2,制造业,超涨
204,1,制造业,军民融合;小盘绩优;次新股;近端次新股
205,19,房地产业,地方国企;股票质押;标普道琼斯概念;并购阶段(需定增);养老产业;融资融券;融资融券标的
206,22,制造业,预减;小盘成长;建筑节能;轨道交通;含B股的A股;股票质押;光伏
207,25,制造业,融资融券;地方国企;融资融券标的;智能IC卡;天津市国资;国企混改
208,7,制造业,重组;预增;超涨;新材料;聚碳酸酯;小金属;3D打印
209,4,制造业,知识产权;制造业单项冠军企业;机器人;国家队;超涨;股票质押;医疗器械
210,17,房地产业,含B股的A股;超涨;低价小市值;赛马
211,18,批发和零售业,最小市值;东北振兴;汽车后市场;车联网;重组;合资企业
212,26,制造业,地方国企;ST概念;*ST;浦东新区
213,1,制造业,次新股;预减;近端次新股
214,1,制造业,高送转概念
215,2,电力、热力、燃气及水生产和供应业,超涨
216,19,房地产业,大盘蓝筹;合资企业;中字头;标普道琼斯概念;融资融券标的;预增;融资融券
217,3,制造业,预增;并购阶段(需定增);地方国企;江苏省国资
218,1,文化、体育和娱乐业,文化传媒概念;知识产权;高校;标普道琼斯概念
219,2,制造业,打板;合资企业
220,17,制造业,最小市值;举牌;大数据;黄金珠宝
221,11,信息传输、软件和信息技术服务业,国家队;网络游戏;世界杯
222,4,科学研究和技术服务业,合同能源管理;标普道琼斯概念;预增
223,11,制造业,国家队;出口型企业;预增;锂电正极;股票质押;污水处理;超涨;小金属;地方国企
224,8,制造业,人民币贬值;国家队;股票质押;棉花
225,3,制造业,预增
226,20,制造业,重组;地方国企;增持;ST概念;*ST;成渝特区;举牌
227,8,制造业,员工持股;标普道琼斯概念;消费电子产业;高送转概念;超涨;智能电视;融资融券标的;珠三角;融资融券;预增
228,21,文化、体育和娱乐业,IP流量变现;MSCI中盘;文化传媒概念;标普道琼斯概念;员工持股
229,18,文化、体育和娱乐业,融资融券标的;蚂蚁金服;融资融券;地方国企;文化传媒概念
230,6,水利、环境和公共设施管理业,融资融券标的;PPP;装饰园林;基金重仓(季调);美丽中国;特色小镇;融资融券;中小创蓝筹;预减
231,2,制造业,预减;高送转概念
232,3,信息传输、软件和信息技术服务业,股票质押;超涨;国家队;国产软硬件;安防监控
233,1,制造业,次新股;超涨
234,21,批发和零售业,东北振兴;金融改革;中日韩自贸区;征信
235,21,金融业,MSCI大盘;国家队;可转债;融资融券标的;融资融券;预增;标普道琼斯概念
236,9,制造业,制造业单项冠军企业;机床;标普道琼斯概念
237,8,制造业,
238,20,批发和零售业,护城河;360概念;国家队;地方国企;一线龙头;大盘蓝筹;融资融券标的;标普道琼斯概念;融资融券;福建自贸区
239,24,批发和零售业,流感;医疗改革;白马股;地方国企;含H股的A股;一线龙头;医保概念;融资融券;上海国资改革;标普道琼斯概念;行业龙头;MSCI大盘;基金重仓(季调);浦东新区;证金概念;医药电商;国家队;融资融券标的;护城河;上海本地重组;仿制药
240,2,制造业,标普道琼斯概念
241,7,制造业,体育;绿色节能照明;世界杯;员工持股;股票质押
242,15,制造业,半导体产业;国家队;核高基;磷酸铁锂电池;半导体分立器件;科技龙头;芯片国产化;预减;标普道琼斯概念;MSCI中盘;OLED;融资融券标的;融资融券;车联网;5G应用;传感器;绿色节能照明;消费电子产业;并购阶段(需定增);集成电路
243,6,制造业,煤矿智能;举牌;预增;国家队;京津冀一体化
244,18,信息传输、软件和信息技术服务业,融资融券标的;科技龙头;智能IC卡;物联网;大盘蓝筹;数字中国;国家队;股票质押;数字货币;融资融券;移动支付;金融科技;食药品溯源;护城河;标普道琼斯概念;二线龙头;新零售;5G应用;MSCI中盘
245,8,制造业,并购阶段(需定增);OLED材料;石墨烯;预减;标普道琼斯概念;锂电池;OLED;国产化创新;超涨;新材料
246,8,制造业,标普道琼斯概念;国家队
247,21,制造业,大盘蓝筹;国产软硬件;激光
248,11,制造业,超涨;物联网;车联网;新零售;食药品溯源;5G应用;融资融券标的;高铁;国家队;融资融券;智能交通;迪士尼
249,2,制造业,标普道琼斯概念;小盘成长;超涨;安防监控;预减
250,3,制造业,网络安全;3D传感;新零售;国家队;并购阶段(需定增);超涨;生物识别;人工智能
251,25,房地产业,上海国资改革;并购阶段(需定增);重组;上海本地重组;大盘蓝筹;新型城镇化;地方国企;迪士尼;预增;国家队
252,7,制造业,高铁
253,25,电力、热力、燃气及水生产和供应业,环保概念;可转债;白马股;污水处理;地方国企
254,19,制造业,地方国企;基金重仓(季调);标普道琼斯概念;预增;白马股;融资融券标的;融资融券;可转债;含可转债;白酒
255,11,制造业,国家队;*ST;天津自贸区;电路板;ST概念;地方国企;天津市国资;债转股;大飞机;超涨;重组
256,26,批发和零售业,迪士尼;MSCI中盘;护城河;蚂蚁金服;国家队;融资融券标的;黄金珠宝;融资融券;并购阶段(需定增);重组;大盘蓝筹;标普道琼斯概念
257,10,制造业,预增;小盘成长;网络游戏;股权转让;中小创蓝筹;标普道琼斯概念
258,1,制造业,行业龙头;次新股;制造业单项冠军企业;标普道琼斯概念;可转债;二线龙头;含可转债
259,11,制造业,预增;智能物流;重组;股票质押;供应链金融
260,4,信息传输、软件和信息技术服务业,智能电网;在线教育;股票质押;小盘成长;基金重仓(季调);特高压;军民融合
261,12,电力、热力、燃气及水生产和供应业,含H股的A股;央企;陆股通50;煤电重组;大央企重组;火电;国家队;CDM项目;标普道琼斯概念;行业龙头;融资融券;融资融券标的
262,1,制造业,
263,18,制造业,预增;标普道琼斯概念;融资融券标的;国家队;绿色节能照明;大盘蓝筹;融资融券
264,7,信息传输、软件和信息技术服务业,预减;国产软硬件;5G应用;融资融券标的;融资融券;员工持股
265,11,制造业,并购阶段(需定增);融资融券标的;融资融券;地方国企;可转债;中小创蓝筹;大盘蓝筹;二线龙头;MSCI中盘;标普道琼斯概念
266,1,制造业,近端次新股;小盘成长;次新股
267,12,制造业,ST概念;小金属;重组;锂电池;锂矿;磷酸铁锂电池
268,10,采矿业,融资融券标的;标普道琼斯概念;煤电重组;中字头;证金概念;国家队;央企;行业龙头;甲醇;含H股的A股;大央企重组;融资融券
269,11,制造业,股票质押;金融科技;区块链;网红经济;文化传媒概念;基金重仓(季调)
270,9,制造业,员工持股;制造业单项冠军企业;民营银行;出口型企业;股权转让;国家队
271,1,水利、环境和公共设施管理业,环保概念;次新股;地方国企;标普道琼斯概念;含可转债;上海国资改革;医废处理;浦东新区;垃圾发电;国家队
272,16,制造业,大央企重组;央企;预减;新疆振兴;大盘蓝筹;小盘成长
273,14,农、林、牧、渔业,标普道琼斯概念;预增
274,19,制造业,超涨;充电桩;智能电网;国资改革;轨道交通;特高压;央企
275,20,制造业,人民币贬值;石墨烯
276,24,房地产业,ST概念;最小市值;*ST;借壳上市;重组;超涨
277,1,制造业,次新股
278,1,科学研究和技术服务业,高送转概念;小盘绩优;装饰园林;次新股
279,7,采矿业,LNG;可燃冰;人民币贬值;页岩气
280,9,房地产业,超涨;券商重仓;特色小镇;标普道琼斯概念
281,22,制造业,移动互联网;生物识别;超涨;车联网;股票质押;半导体分立器件;消费电子代工;5G应用;消费电子产业;智能手表;科技龙头;涉矿;预增;员工持股;股权转让;养老产业
282,22,农、林、牧、渔业,光伏;国家队;赛马;员工持股;标普道琼斯概念;重组;福建自贸区;股票质押;融资融券标的;融资融券;民营医院
283,3,制造业,地方国企
284,10,电力、热力、燃气及水生产和供应业,融资融券标的;地方国企;标普道琼斯概念;国家队;融资融券
285,23,制造业,标普道琼斯概念;高送转概念;融资融券;大飞机;融资融券标的;MSCI中盘;航母;基金重仓(季调);高端装备制造;预增;十大军工集团;卫星导航;央企
286,1,制造业,半导体产业;超涨;国产化创新;液晶显示;芯片国产化;次新股;半导体材料
287,7,制造业,基因检测;干细胞;CAR-T疗法;生物疫苗;百度概念;网络彩票;超涨;世界杯;股票质押;预增;网络游戏;共享单车
288,9,信息传输、软件和信息技术服务业,金融科技;超涨;基金重仓(季调);融资融券标的;互联网金融;科技龙头;数字中国;MSCI中盘;融资融券;一线龙头;长三角;国家队;护城河;行业龙头
289,11,制造业,预减;国家队;重组;新材料;股权转让;珠三角;体育;锂电池;标普道琼斯概念
290,1,制造业,次新股;预增
291,22,制造业,*ST;高铁;ST概念
292,1,金融业,次新股;标普道琼斯概念;地方国企;沪伦通;含可转债;超涨
293,3,制造业,预减
294,22,制造业,地方国企;虫害防治
295,7,制造业,轨道交通;员工持股;机器视觉;国家队;卫星导航
296,15,制造业,新疆振兴;水泥;预增;国家队;ST概念;一带一路;地方国企;*ST;西部水泥
297,2,信息传输、软件和信息技术服务业,5G;超涨;网络规划建设;小基站;网络优化;4G
298,25,电力、热力、燃气及水生产和供应业,成渝特区
299,22,制造业,融资融券;医疗改革;融资融券标的;预增;医保概念;白马股;国家队;地方国企;标普道琼斯概念
300,7,制造业,重组;股票质押;新材料;建筑节能
301,9,电力、热力、燃气及水生产和供应业,融资融券;深圳市国资;融资融券标的;广东省国资;国家队;大盘蓝筹;地方国企;标普道琼斯概念
302,14,农、林、牧、渔业,融资融券标的;融资融券;预增;反关税
303,7,制造业,股票质押;国产化创新;CAR-T疗法;医疗改革;创新药;医保概念;基因检测;预增
304,12,制造业,二线龙头;MSCI中盘;可转债;融资融券标的;含可转债;标普道琼斯概念;预增;社保重仓;基金重仓(季调);护城河;行业龙头;融资融券;大盘蓝筹;中小创蓝筹
305,4,制造业,
306,10,制造业,高送转概念;新能源汽车;涉矿;标普道琼斯概念;券商重仓;预增;超涨;股票质押
307,20,制造业,物联网;半导体产业;超涨;上海本地重组;集成电路;国家队;标普道琼斯概念;液晶显示;融资融券标的;央企;融资融券;半导体分立器件;5G应用;车联网
308,22,批发和零售业,国家队;O2O;第三方支付;融资融券;标普道琼斯概念;地方国企;融资融券标的
309,4,制造业,黄金珠宝;标普道琼斯概念;超跌
310,24,批发和零售业,标普道琼斯概念;股票质押
